distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-09-01,0.003,5,1,FALSE,16.525000000000023,5.8705179116834625,74.8,97.6725,0.4374815742455271,-0.006041041212329479
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-10-01,0.0126,5,1,FALSE,5.114996337890648,3.864186653499512,77.8,97.6425,0.05219384121925613,0.5030540269738569
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-11-01,0.0082,5,1,FALSE,-4.060015869140602,4.644755369837647,86.35,97.6375,0.23286051712528236,0.16106735850867793
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2018-12-01,0.00475,4,1,FALSE,-7.7500137329101335,3.6184788766565004,90.0625,97.6575,-0.3763877524413666,-0.569799279791337
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-01-01,0.0076,5,1,FALSE,-12.925012207031227,5.688230798951406,84.15,97.778,-0.3521836968958754,0.0305258178920531
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-02-01,0.0146,5,1,FALSE,-11.145001220703103,4.392791311925921,79,97.557,-0.3260508208488609,-0.21313559385617892
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-03-01,0.0026,5,1,FALSE,-3.9600128173827898,3.6525994218545925,82.6,97.50750000000001,-0.12362693013391199,0.5422346046984367
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-04-01,0.0076,5,1,FALSE,7.599981689453148,5.7614473675437115,71.85,97.147,-0.4702753417235392,0.18705928048896195
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-05-01,0.0044,5,1,FALSE,9.664996337890647,4.931683788909693,84.65,97.4305,-0.6554460857538751,0.48497278535375804
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-06-01,0.003,5,1,FALSE,16.669995117187522,4.652986610715711,75.85,97.1455,0.2759698574388595,-0.2767112806597224
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-07-01,0.0016,5,1,FALSE,22.144995117187523,4.562526931489709,82.05,97.34,-0.10134196563702118,-0.195421859494405
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-08-01,0.0013333333333333333,6,1,FALSE,19.424986775716167,5.212159894249686,66.04166666666667,97.57166666666666,-0.6122344233457099,-0.2989778617951398
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-09-01,8e-4,5,1,FALSE,19.589996337890646,7.958071849720534,83.75,97.26,-0.37261563423832283,-0.28814958140160535
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-10-01,0.004,5,1,FALSE,4.064984130859398,7.536838094572832,76.85,97.3385,-0.509565545200892,-0.37168844161077874
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-11-01,0.001,5,1,FALSE,-3.245013427734352,5.8801889282556425,81.15,97.918,-0.3089465369585622,-0.072589957454882
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2019-12-01,0.0092,5,1,FALSE,-6.040011596679665,2.965750318432307,89.6,97.2645,-0.5986097413599347,-0.030855592447989865
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-01-01,0.0106,5,1,FALSE,-9.645016479492165,6.395778478197105,90,97.82849999999999,-0.6840993222782795,0.3608600440660559
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-02-01,0.0028,5,1,FALSE,-8.175012207031227,6.395777783984254,78.4,97.67,-0.07669426725736854,-0.11723078345402815
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-03-01,0.0024000000000000002,5,1,FALSE,-1.6650146484374773,6.644800205329014,87.9,97.665,-0.4153854205695439,0.09260987844870111
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-04-01,0.0012000000000000001,5,1,FALSE,3.339984130859398,4.695149394159428,71.45,97.219,-0.3375815936475789,0.18630815641898119
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-05-01,0.0028,5,1,FALSE,13.325006103515648,3.9354265682322938,71.95,97.393,-0.5381069492709456,0.4036496046442039
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-06-01,0.003,4,1,FALSE,19.999986267089866,6.124320294749616,71.8125,97.401875,-0.6384599057305662,-0.31305073732902816
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-07-01,0.0026,5,1,FALSE,23.224987792968772,7.475786321226357,78.9,97.257,-0.5736791444878226,-0.20629581211436918
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-08-01,0.0023333333333333335,6,1,FALSE,21.983331298828148,5.1854863040609915,65.66666666666667,97.33041666666666,-0.6261913125652345,-0.5831881139726571
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-09-01,0.003,5,1,FALSE,15.684997558593773,4.593357924695685,66.75,97.2525,-0.7974223372579592,0.08711130257546168
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-10-01,0.002,5,1,FALSE,4.964984130859397,4.19954991926764,77.15,97.44200000000001,-0.6148943514416767,0.06342004674350063
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2020-11-01,0.0036,5,1,FALSE,1.1649841308593978,1.8822692963827057,81.2,97.654,0.6673686658879876,0.4008329234748361
