airport_row_id,monitor_row_id,distance_m,distance_km,distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,monitor_id,county_fips,state_name,county_name,monitor_lat,monitor_lon,same_county,is_reid_hillview
9589,25,1195.8215555973636,1.1958215555973637,1-3 km,20932,KRIR,KRIR,RIR,Flabob Airport,small_airport,06065,Riverside,060658001,06065,California,Riverside,33.99958,-117.41601,TRUE,FALSE
9712,29,3607.135993554775,3.607135993554775,3-5 km,3867,KSBD,KSBD,SBD,San Bernardino International Airport,large_airport,06071,San Bernardino,060719004,06071,California,San Bernardino,34.106678,-117.274063,TRUE,FALSE
9733,33,985.2819654579906,0.9852819654579906,0-1 km,21047,KSEE,KSEE,SEE,Gillespie Field,small_airport,06073,San Diego,060731018,06073,California,San Diego,32.817978,-116.968133,TRUE,FALSE
9733,34,4832.282300029064,4.832282300029064,3-5 km,21047,KSEE,KSEE,SEE,Gillespie Field,small_airport,06073,San Diego,060731022,06073,California,San Diego,32.789565,-116.944308,TRUE,FALSE
9753,108,2318.233690713937,2.318233690713937,1-3 km,21063,KSGS,KSGS,SGS,South St Paul Municipal Airport/Richard E Fleming Field,small_airport,27037,Dakota,271630438,27163,Minnesota,Washington,44.85711,-93.00352,FALSE,FALSE
9765,39,3390.8204279080574,3.390820427908057,3-5 km,3883,KSJC,KSJC,SJC,Norman Y. Mineta San Jose International Airport,large_airport,06085,Santa Clara,060850005,06085,California,Santa Clara,37.348497,-121.894898,TRUE,FALSE
9780,75,4256.9416179968175,4.256941617996818,3-5 km,3891,KSLN,KSLN,SLN,Salina Municipal Airport,medium_airport,20169,Saline,201690004,20169,Kansas,Saline,38.776473,-97.606494,TRUE,FALSE
9812,38,683.7537623450121,0.6837537623450121,0-1 km,21105,KSQL,KSQL,SQL,San Carlos Airport,medium_airport,06081,San Mateo,060812004,06081,California,San Mateo,37.508162,-122.246305,TRUE,FALSE
9828,102,896.4067681086547,0.8964067681086546,0-1 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230818,27123,Minnesota,Ramsey,44.926753,-93.059292,TRUE,FALSE
9828,103,3334.995060496912,3.334995060496912,3-5 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230871,27123,Minnesota,Ramsey,44.95939,-93.03587,TRUE,FALSE
9828,258,1021.0523285468626,1.0210523285468625,1-3 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230875,27123,Minnesota,Ramsey,44.9271,-93.0671,TRUE,FALSE
9828,270,3566.4187264980997,3.5664187264980995,3-5 km,3906,KSTP,KSTP,STP,Saint Paul Downtown Holman Field,medium_airport,27123,Ramsey,271230890,27123,Minnesota,Ramsey,44.9667,-93.0642,TRUE,FALSE
10473,85,4657.345784837727,4.657345784837727,3-5 km,22069,MI56,NA,56C,Boulder Canyon Airport,small_airport,26067,Ionia,260670002,26067,Michigan,Ionia,43.10172,-85.22327,TRUE,FALSE
10473,86,4602.110929762945,4.602110929762945,3-5 km,22069,MI56,NA,56C,Boulder Canyon Airport,small_airport,26067,Ionia,260670003,26067,Michigan,Ionia,43.099943,-85.222266,TRUE,FALSE
10646,110,3961.7825787521615,3.9617825787521617,3-5 km,22390,MS90,MS90,MS90,Flowood Industrial Airport,small_airport,28121,Rankin,280490020,28049,Mississippi,Hinds,32.329111,-90.182722,FALSE,FALSE
11791,57,2651.8520189699907,2.651852018969991,1-3 km,5447,PHJR,PHJR,JRF,Kalaeloa Airport,medium_airport,15003,Honolulu,150030010,15003,Hawaii,Honolulu,21.323745,-158.088613,TRUE,FALSE
11822,178,3634.26452013123,3.6342645201312296,3-5 km,24145,PN37,PN37,PN37,Fino Airport,small_airport,42007,Beaver,420070727,42007,Pennsylvania,Beaver,40.6119,-80.500451,TRUE,FALSE
12693,193,2508.7959431461845,2.5087959431461844,1-3 km,325427,US-0710,19PN,19PN,Walnut Grove Airport,small_airport,42071,Lancaster,420710009,42071,Pennsylvania,Lancaster,40.108944,-76.472235,TRUE,FALSE
14496,194,4606.350749829671,4.606350749829671,3-5 km,351166,US-6312,9PA3,9PA3,McMillin Landingstrip,small_airport,42073,Lawrence,420730011,42073,Pennsylvania,Lawrence,40.860031,-80.279092,TRUE,FALSE
15747,224,3881.6583399747738,3.881658339974774,3-5 km,25575,W24,W24,W24,Falwell Airport,small_airport,51680,Lynchburg,510090007,51009,Virginia,Amherst,37.41222,-79.116233,FALSE,FALSE
563,184,3466.35218355525,3.46635218355525,0-4 km,7488,0PN2,0PN2,0PN2,Flying Acres Airport,small_airport,42019,Butler,420190020,42019,Pennsylvania,Butler,41.0632,-80.0309,TRUE,FALSE
910,190,1629.7204352368594,1.6297204352368595,0-4 km,8115,18PN,18PN,18PN,Spud View Airport,small_airport,42055,Franklin,420550002,42055,Pennsylvania,Franklin,40.059828,-77.710608,TRUE,FALSE
3927,37,2221.845679611351,2.221845679611351,0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,060771002,06077,California,San Joaquin,37.950741,-121.268523,TRUE,FALSE
3927,260,3555.0756939666953,3.555075693966695,0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,060771003,06077,California,San Joaquin,37.961578,-121.281414,TRUE,FALSE
6500,66,3808.0290741908725,3.8080290741908724,0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,180350009,18035,Indiana,Delaware,40.158417,-85.415021,TRUE,FALSE
7500,92,866.924477130158,0.8669244771301581,0-4 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,270031002,27003,Minnesota,Anoka,45.13768,-93.207615,TRUE,FALSE
7560,195,2328.6536675008824,2.328653667500882,0-4 km,3388,KAVP,KAVP,AVP,Wilkes-Barre/Scranton International Airport,medium_airport,42079,Luzerne,420790036,42079,Pennsylvania,Luzerne,41.348869,-75.747322,TRUE,FALSE
7643,153,2869.3768288416086,2.8693768288416086,0-4 km,3414,KBKL,KBKL,BKL,Burke Lakefront Airport,medium_airport,39035,Cuyahoga,390350060,39035,Ohio,Cuyahoga,41.492117,-81.678449,TRUE,FALSE
7859,16,3800.5797073765993,3.8005797073765994,0-4 km,19539,KCPM,KCPM,CPM,Compton Woodley Airport,small_airport,06037,Los Angeles,060371302,06037,California,Los Angeles,33.901389,-118.205,TRUE,FALSE
7873,35,762.8046417740065,0.7628046417740065,0-4 km,19552,KCRQ,KCRQ,CRQ,McClellan-Palomar Airport,medium_airport,06073,San Diego,060731023,06073,California,San Diego,33.130897,-117.272389,TRUE,FALSE
7876,232,3861.2028921196475,3.8612028921196475,0-4 km,3467,KCRW,KCRW,CRW,Yeager Airport,medium_airport,54039,Kanawha,540390020,54039,West Virginia,Kanawha,38.346258,-81.621161,TRUE,FALSE
7907,12,2888.9047918463875,2.8889047918463877,0-4 km,3474,KCXL,KCXL,CXL,Calexico International Airport,small_airport,06025,Imperial,060250005,06025,California,Imperial,32.67618,-115.48307,TRUE,FALSE
7953,216,2991.57341465041,2.9915734146504103,0-4 km,3479,KDAL,KDAL,DAL,Dallas Love Field,large_airport,48113,Dallas,481130069,48113,Texas,Dallas,32.820061,-96.860117,TRUE,FALSE
8001,63,3838.459474339295,3.838459474339295,0-4 km,19648,KDPA,KDPA,DPA,Dupage Airport,medium_airport,17043,DuPage,170890113,17089,Illinois,Kane,41.884417,-88.282692,FALSE,FALSE
8030,6,524.626347223124,0.524626347223124,0-4 km,19672,KDVT,KDVT,DVT,Phoenix Deer Valley Airport,small_airport,04013,Maricopa,040134018,04013,Arizona,Maricopa,33.68449,-112.08633,TRUE,FALSE
8511,110,3745.5882357432224,3.7455882357432224,0-4 km,20058,KHKS,KHKS,HKS,Hawkins Field,small_airport,28049,Hinds,280490020,28049,Mississippi,Hinds,32.329111,-90.182722,TRUE,FALSE
8804,23,2496.4504133682613,2.4964504133682612,0-4 km,3632,KLAX,KLAX,LAX,Los Angeles International Airport,large_airport,06037,Los Angeles,060375005,06037,California,Los Angeles,33.95507,-118.43049,TRUE,FALSE
8829,22,3571.6783798326433,3.5716783798326435,0-4 km,3644,KLGB,KLGB,LGB,Long Beach International Airport,large_airport,06037,Los Angeles,060374004,06037,California,Los Angeles,33.79236,-118.17533,TRUE,FALSE
8869,77,800.2331678710937,0.8002331678710937,0-4 km,3649,KLOU,KLOU,LOU,Bowman Field,medium_airport,21111,Jefferson,211110067,21111,Kentucky,Jefferson,38.22876,-85.65452,TRUE,FALSE
8982,49,2548.6938313371943,2.5486938313371943,0-4 km,20468,KMAC,KMAC,MAC,Macon Downtown Airport,small_airport,13021,Bibb,130210012,13021,Georgia,Bibb,32.805264,-83.543493,TRUE,FALSE
9048,267,2311.276530710733,2.311276530710733,0-4 km,20509,KMIO,KMIO,MIO,Miami Municipal Airport,small_airport,40115,Ottawa,401150522,40115,Oklahoma,Ottawa,36.926603,-94.873439,TRUE,FALSE
9056,76,3727.7712965740952,3.7277712965740952,0-4 km,3689,KMKC,KMKC,MKC,Charles B. Wheeler Downtown Airport,medium_airport,29047,Clay,202090021,20209,Kansas,Wyandotte,39.117219,-94.635605,FALSE,FALSE
9570,179,613.803023449608,0.6138030234496079,0-4 km,3842,KRDG,KRDG,RDG,Reading Regional Airport (Carl A Spaatz Field),medium_airport,42011,Berks,420110011,42011,Pennsylvania,Berks,40.38335,-75.9686,TRUE,FALSE
9584,40,464.03909672841684,0.4640390967284168,0-4 km,20928,KRHV,KRHV,RHV,Reid-Hillview Airport of Santa Clara County,small_airport,06085,Santa Clara,060852011,06085,California,Santa Clara,37.329841,-121.815438,TRUE,TRUE
9589,25,1195.8215555973636,1.1958215555973637,0-4 km,20932,KRIR,KRIR,RIR,Flabob Airport,small_airport,06065,Riverside,060658001,06065,California,Riverside,33.99958,-117.41601,TRUE,FALSE
9712,29,3607.135993554775,3.607135993554775,0-4 km,3867,KSBD,KSBD,SBD,San Bernardino International Airport,large_airport,06071,San Bernardino,060719004,06071,California,San Bernardino,34.106678,-117.274063,TRUE,FALSE
