distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos,post,treated,treated_post,log_lead
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-11-01,0.007,3,1,FALSE,11.346673583984398,4.256828253047308,83.83333333333333,100.22,-0.7106399616373213,0.5844886264116801,FALSE,FALSE,0,-4.8283137373023015
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2000-12-01,0.014499999999999999,2,1,FALSE,13.809991455078148,3.294493434900849,74.125,100.03999999999999,-0.9303851628347394,0.36114807792381565,FALSE,FALSE,0,-4.166915255056936
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-01-01,0.00425,4,1,FALSE,9.330003356933616,3.9152448719348376,86,100.12,0.3710761223266705,0.318075935865173,FALSE,FALSE,0,-5.249527202378605
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-02-01,0.007333333333333333,3,1,FALSE,10.830000813802107,6.220280198116218,89.75,100.03333333333333,-0.24697617129940966,-0.24425336895425373,FALSE,FALSE,0,-4.787491742782046
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-03-01,0.00625,4,1,FALSE,11.777497863769554,5.090759465481086,86.3125,100.135,-0.2107785986475412,0.5694066880150727,FALSE,FALSE,0,-4.926753810115554
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-04-01,0.002,2,1,FALSE,9.404992675781273,5.1335295709420485,93.375,99.60499999999999,-0.9785920689098442,0.1969483313234015,FALSE,FALSE,0,-5.809142990314028
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-05-01,0.007,3,1,FALSE,15.790002441406273,4.79264935505967,72.75,99.97666666666666,-0.6945472524902387,0.42950484591880383,FALSE,FALSE,0,-4.8283137373023015
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-06-01,0.0026666666666666666,3,1,FALSE,18.40333455403648,5.793064697074403,60,99.82333333333334,-0.6504187877427362,0.7152086329862333,FALSE,FALSE,0,-5.608472294851876
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-07-01,0.002,2,1,FALSE,17.129998779296898,2.3487422203796573,72.375,99.695,0.7888188315275695,-0.29723529418598554,FALSE,FALSE,0,-5.809142990314028
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-08-01,0.005666666666666667,3,1,FALSE,18.65333455403648,4.27048985172361,68.5,99.54666666666667,-0.7580542127043394,0.6104752509572606,FALSE,FALSE,0,-5.0106352940962555
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-09-01,0.0115,2,1,FALSE,17.345010375976585,5.516247906320896,67.875,99.595,-0.0880949665808094,-0.2515623643811592,FALSE,FALSE,0,-4.382026634673881
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-10-01,0.008857142857142857,7,1,FALSE,16.555723353794665,6.13352312596572,72.78571428571429,99.92428571428572,-0.9483277229257114,-0.07588487884663829,FALSE,FALSE,0,-4.6195589234401915
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,2001-11-01,0.01,4,1,FALSE,15.91999206542971,3.5848579638370017,78.25,100.13499999999999,-0.8431920016888093,-0.1461585621942512,FALSE,FALSE,0,-4.509860006183766
