distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos,post,treated,treated_post,log_lead
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-03-01,0.0021633333333333335,3,1,FALSE,12.149997965494814,3.080507422156589,83.58333333333333,99.57583333333334,-0.18817994345672726,0.7022238035337097,TRUE,FALSE,0,-5.7561289550284105
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-04-01,0.002055,2,1,FALSE,11.324990844726585,2.962145090687557,81.625,99.89,0.7824749143017083,-0.40418331637247484,TRUE,FALSE,0,-5.790975686358578
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-05-01,0.0018166666666666667,3,1,FALSE,13.616662597656273,7.085235621579243,75.58333333333333,99.9325,-0.1987273160931998,0.3258246261382336,TRUE,FALSE,0,-5.872201126281164
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-06-01,0.00287,2,1,FALSE,18.199990844726585,2.540524411783455,64.5,99.47125,0.014236033865155595,0.8031787472094567,TRUE,FALSE,0,-5.554500771940447
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-07-01,0.00211,3,1,FALSE,16.808323160807316,1.4493398907783888,75.16666666666667,99.8625,0.8868512256627781,0.24450199839413664,TRUE,FALSE,0,-5.773132552790995
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-08-01,0.003535,2,1,FALSE,17.062493896484398,1.7194676929823645,76.5,99.7225,0.68220175111698,0.18089612079202844,TRUE,FALSE,0,-5.395930195415037
0-4 km,13222,6CL8,6CL8,6CL8,Harley Airport,small_airport,06077,San Joaquin,2024-09-01,0.003973333333333333,3,1,FALSE,17.749983723958355,4.466046276140239,74.25,99.505,-0.10208263923451723,0.32877834157998825,TRUE,FALSE,0,-5.303664972874632
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-01-01,0.03190909090909091,11,1,FALSE,-2.2863830566406023,6.202906595384646,79.95454545454545,99.83545454545455,-0.3272550374299351,-0.3369015559332671,FALSE,FALSE,0,-3.4140063399547365
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-02-01,0.023333333333333334,9,1,FALSE,1.4527662489149533,6.955683270199667,82.41666666666667,99.66638888888889,-0.587461739760897,-0.24918730107346632,FALSE,FALSE,0,-3.7159081265018554
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-03-01,0.02818181818181818,11,1,FALSE,10.04544566761366,6.554656698247859,85.54545454545455,99.38886363636364,-0.20766046072488067,-0.34125026727301605,FALSE,FALSE,0,-3.5342094286504917
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-04-01,0.020777777777777777,9,1,FALSE,10.883315022786482,4.594153587894975,79.55555555555556,99.92916666666666,-0.713907908541711,0.26086446383694634,FALSE,FALSE,0,-3.826865197087839
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-05-01,0.0291,10,1,FALSE,15.344992065429711,5.9674800631836815,86.725,99.69975,-0.30704268589873207,0.06432572964182715,FALSE,FALSE,0,-3.503230107227307
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-06-01,0.03922222222222222,9,1,FALSE,21.908336046006966,6.7959324823427725,80,99.46666666666667,-0.5366080253090716,-0.1352728211947652,FALSE,FALSE,0,-3.2133356444925854
0-4 km,18125,IN56,IN56,IN56,Carroll's Airpark,small_airport,18035,Delaware,2016-07-01,0.021444444444444447,9,1,FALSE,23.833320448133705,5.135434208161236,83.91666666666667,99.70666666666666,-0.42111756037025794,-0.24707415096650048,FALSE,FALSE,0,-3.7967121589171517
